venue,innings,batting_team,bowling_team,tot,wickets
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,40,3
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,58,0
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,45,0
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,45,2
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,25,5
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30,1
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52,1
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35,1
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,67,0
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,63,2
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Pune Warriors,37,1
Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Daredevils,43,0
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,55,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45,1
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,36,1
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,55,2
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,29,2
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,46,4
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,41,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,36,1
Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Daredevils,37,3
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Kolkata Knight Riders,34,2
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,36,1
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,36,2
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,30,0
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,39,1
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,32,2
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,48,1
"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,Sunrisers Hyderabad,26,1
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Daredevils,41,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,31,1
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,46,1
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,32,0
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,30,4
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,57,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,53,0
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,40,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,47,1
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,42,2
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,49,0
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,41,0
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,38,1
"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,50,1
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,49,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,37,1
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,38,1
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,50,1
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,34,2
Arun Jaitley Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,40,2
Arun Jaitley Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,49,2
Subrata Roy Sahara Stadium,1,Pune Warriors,Mumbai Indians,36,2
Subrata Roy Sahara Stadium,2,Mumbai Indians,Pune Warriors,37,2
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,37,2
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,41,1
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Kolkata Knight Riders,22,1
JSCA International Stadium Complex,2,Kolkata Knight Riders,Royal Challengers Bangalore,31,2
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,37,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,24,3
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,40,2
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,56,3
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51,1
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,39,1
JSCA International Stadium Complex,1,Pune Warriors,Kolkata Knight Riders,42,1
JSCA International Stadium Complex,2,Kolkata Knight Riders,Pune Warriors,33,3
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,47,0
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,49,2
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,43,1
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,29,4
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,58,0
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,41,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rajasthan Royals,21,3
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Sunrisers Hyderabad,33,0
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Mumbai Indians,35,2
Himachal Pradesh Cricket Association Stadium,2,Mumbai Indians,Punjab Kings,51,2
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,40,1
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,47,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,76,1
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,56,3
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Sunrisers Hyderabad,32,1
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kolkata Knight Riders,45,0
Arun Jaitley Stadium,1,Chennai Super Kings,Mumbai Indians,47,0
Arun Jaitley Stadium,2,Mumbai Indians,Chennai Super Kings,56,1
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,27,2
Arun Jaitley Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,44,1
Eden Gardens,1,Rajasthan Royals,Mumbai Indians,42,0
Eden Gardens,2,Mumbai Indians,Rajasthan Royals,45,0
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,34,3
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,35,4
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,31,1
Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,32,1
Sharjah Cricket Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,30,3
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,50,1
Sheikh Zayed Stadium,1,Chennai Super Kings,Punjab Kings,70,0
Sheikh Zayed Stadium,2,Punjab Kings,Chennai Super Kings,63,3
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,41,1
Sheikh Zayed Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30,2
Dubai International Cricket Stadium,1,Mumbai Indians,Royal Challengers Bangalore,49,1
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Mumbai Indians,30,3
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Delhi Daredevils,31,2
Dubai International Cricket Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49,2
Sharjah Cricket Stadium,1,Rajasthan Royals,Punjab Kings,53,1
Sharjah Cricket Stadium,2,Punjab Kings,Rajasthan Royals,39,2
Sheikh Zayed Stadium,1,Chennai Super Kings,Delhi Daredevils,34,1
Sheikh Zayed Stadium,2,Delhi Daredevils,Chennai Super Kings,24,3
Sharjah Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,43,0
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Punjab Kings,45,3
Dubai International Cricket Stadium,1,Chennai Super Kings,Rajasthan Royals,47,1
Dubai International Cricket Stadium,2,Rajasthan Royals,Chennai Super Kings,38,2
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,2
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,49,0
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,55,0
Dubai International Cricket Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,44,0
Dubai International Cricket Stadium,1,Mumbai Indians,Chennai Super Kings,31,2
Dubai International Cricket Stadium,2,Chennai Super Kings,Mumbai Indians,51,0
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,22,5
Sheikh Zayed Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,36,2
Sheikh Zayed Stadium,1,Punjab Kings,Kolkata Knight Riders,51,2
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Punjab Kings,24,3
Sharjah Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,37,2
Sharjah Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,31,0
Sharjah Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,37,2
Sharjah Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,47,0
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Punjab Kings,44,4
Dubai International Cricket Stadium,2,Punjab Kings,Royal Challengers Bangalore,33,2
Sheikh Zayed Stadium,1,Rajasthan Royals,Kolkata Knight Riders,41,1
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Rajasthan Royals,33,1
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,44,2
Dubai International Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32,3
JSCA International Stadium Complex,1,Chennai Super Kings,Kolkata Knight Riders,43,1
JSCA International Stadium Complex,2,Kolkata Knight Riders,Chennai Super Kings,39,4
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,36,2
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,49,2
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,46,1
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,38,1
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,43,2
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,36,2
Narendra Modi Stadium,1,Rajasthan Royals,Kolkata Knight Riders,50,0
Narendra Modi Stadium,2,Kolkata Knight Riders,Rajasthan Royals,50,0
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,46,2
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,49,0
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,50,1
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,64,1
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,29,2
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,52,0
Barabati Stadium,1,Punjab Kings,Chennai Super Kings,38,2
Barabati Stadium,2,Chennai Super Kings,Punjab Kings,46,1
Narendra Modi Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,50,1
Narendra Modi Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,37,3
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,59,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,34,3
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,52,1
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,44,2
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,42,1
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,38,1
Barabati Stadium,1,Punjab Kings,Kolkata Knight Riders,49,2
Barabati Stadium,2,Kolkata Knight Riders,Punjab Kings,55,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,31,1
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45,0
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,43,1
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38,1
JSCA International Stadium Complex,1,Rajasthan Royals,Chennai Super Kings,42,0
JSCA International Stadium Complex,2,Chennai Super Kings,Rajasthan Royals,48,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,34,1
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,55,0
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,86,1
Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,37,2
Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,45,0
Narendra Modi Stadium,1,Rajasthan Royals,Delhi Daredevils,52,1
Narendra Modi Stadium,2,Delhi Daredevils,Rajasthan Royals,33,2
JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,39,2
JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,17,1
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,41,2
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,30,1
Narendra Modi Stadium,1,Mumbai Indians,Rajasthan Royals,41,0
Narendra Modi Stadium,2,Rajasthan Royals,Mumbai Indians,45,3
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,55,1
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,65,0
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,25,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,51,0
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,35,1
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,52,0
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,42,1
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,62,0
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,45,2
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,36,1
JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,60,1
JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,60,0
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,65,0
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,47,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,53,1
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,44,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,34,3
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,64,1
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,49,1
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,49,1
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Punjab Kings,44,3
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Delhi Daredevils,48,2
Wankhede Stadium,1,Rajasthan Royals,Mumbai Indians,35,1
Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,71,3
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,55,1
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,46,2
Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,53,0
Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,60,0
Wankhede Stadium,1,Punjab Kings,Chennai Super Kings,70,0
Wankhede Stadium,2,Chennai Super Kings,Punjab Kings,96,2
M Chinnaswamy Stadium,1,Punjab Kings,Kolkata Knight Riders,32,2
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Punjab Kings,59,1
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,37,3
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,38,1
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,57,2
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,40,3
Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Punjab Kings,35,3
Maharashtra Cricket Association Stadium,2,Punjab Kings,Rajasthan Royals,51,3
MA Chidambaram Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,49,0
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,46,2
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,53,0
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,41,1
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,51,1
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,42,1
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,56,0
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,17,3
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,47,1
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,65,0
Narendra Modi Stadium,1,Mumbai Indians,Rajasthan Royals,31,2
Narendra Modi Stadium,2,Rajasthan Royals,Mumbai Indians,42,1
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,69,4
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,38,1
Maharashtra Cricket Association Stadium,1,Punjab Kings,Delhi Daredevils,41,1
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Punjab Kings,47,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,35,3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36,0
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,31,3
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,90,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,39,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,50,0
Maharashtra Cricket Association Stadium,1,Punjab Kings,Kolkata Knight Riders,48,3
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Punjab Kings,53,2
Narendra Modi Stadium,1,Chennai Super Kings,Rajasthan Royals,39,2
Narendra Modi Stadium,2,Rajasthan Royals,Chennai Super Kings,47,0
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,48,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,32,1
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,34,2
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,47,2
Narendra Modi Stadium,1,Rajasthan Royals,Punjab Kings,43,0
Narendra Modi Stadium,2,Punjab Kings,Rajasthan Royals,40,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,43,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,49,2
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,38,2
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,45,1
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,48,2
Narendra Modi Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,48,2
Narendra Modi Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,49,1
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,46,1
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,52,1
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,53,1
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,39,2
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,36,2
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,50,0
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,56,2
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,31,2
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50,1
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,36,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,50,2
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,53,1
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,54,2
Arun Jaitley Stadium,1,Punjab Kings,Delhi Daredevils,23,4
Arun Jaitley Stadium,2,Delhi Daredevils,Punjab Kings,41,0
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,47,1
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,55,1
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,62,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,76,0
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,54,2
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,51,0
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,45,2
Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,43,0
Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,55,2
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,37,2
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,42,3
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,55,0
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,33,3
Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,44,2
Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,41,4
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,66,0
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,34,5
Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,56,1
Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36,2
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,44,1
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,61,0
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,45,1
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,57,1
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,37,2
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,49,1
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,39,1
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,45,1
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,36,2
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,40,1
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,56,0
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,47,1
Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,16,1
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,28,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,71,4
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,61,2
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,43,2
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,46,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,61,1
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,83,4
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Chennai Super Kings,41,3
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Punjab Kings,46,2
Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,66,0
Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51,2
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,54,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,2,0
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,29,3
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38,0
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,48,0
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,54,2
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,41,1
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,40,2
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,29,2
JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,34,1
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,61,1
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,31,1
Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,37,4
Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,51,0
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,35,4
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Gujarat Lions,52,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Punjab Kings,57,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,49,1
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56,1
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40,1
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,53,1
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,57,1
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,58,0
Arun Jaitley Stadium,1,Punjab Kings,Delhi Daredevils,37,1
